run_id,query_id,retriever,k,filters_json,retrieved_ids_json,latency_ms,hit_at_k,rank_positions_json
20251005-sg-baseline,q014,lexical_overlap_top5,5,{},"[""kb_q014_chunk_0000"", ""kb_q029_chunk_0000"", ""kb_q030_chunk_0000"", ""kb_q021_chunk_0000"", ""kb_q002_chunk_0000""]",0.03,1,[1]
20251005-sg-baseline,q015,lexical_overlap_top5,5,{},"[""kb_q015_chunk_0000"", ""kb_q035_chunk_0000"", ""kb_q050_chunk_0000"", ""kb_q043_chunk_0000"", ""kb_q038_chunk_0000""]",0.03,1,[1]
20251005-sg-baseline,q016,lexical_overlap_top5,5,{},"[""kb_q016_chunk_0000"", ""kb_q044_chunk_0000"", ""kb_q009_chunk_0000"", ""kb_q050_chunk_0000"", ""kb_q033_chunk_0000""]",0.03,1,[1]
20251005-sg-baseline,q017,lexical_overlap_top5,5,{},"[""kb_q017_chunk_0000"", ""kb_q047_chunk_0000"", ""kb_q024_chunk_0000"", ""kb_q012_chunk_0000"", ""kb_q013_chunk_0000""]",0.03,1,[1]
20251005-sg-baseline,q018,lexical_overlap_top5,5,{},"[""kb_q018_chunk_0000"", ""kb_q003_chunk_0000"", ""kb_q011_chunk_0000"", ""kb_q026_chunk_0000"", ""kb_q029_chunk_0000""]",0.03,1,[1]
20251005-sg-baseline,q019,lexical_overlap_top5,5,{},"[""kb_q019_chunk_0000"", ""kb_q046_chunk_0000"", ""kb_q032_chunk_0000"", ""kb_q027_chunk_0000"", ""kb_q025_chunk_0000""]",0.03,1,[1]
20251005-sg-baseline,q020,lexical_overlap_top5,5,{},"[""kb_q020_chunk_0000"", ""kb_q045_chunk_0000"", ""kb_q041_chunk_0000"", ""kb_q030_chunk_0000"", ""kb_q004_chunk_0000""]",0.02,1,[1]
20251005-sg-baseline,q021,lexical_overlap_top5,5,{},"[""kb_q021_chunk_0000"", ""kb_q006_chunk_0000"", ""kb_q001_chunk_0000"", ""kb_q024_chunk_0000"", ""kb_q032_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q022,lexical_overlap_top5,5,{},"[""kb_q022_chunk_0000"", ""kb_q050_chunk_0000"", ""kb_q007_chunk_0000"", ""kb_q025_chunk_0000"", ""kb_q035_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q023,lexical_overlap_top5,5,{},"[""kb_q023_chunk_0000"", ""kb_q033_chunk_0000"", ""kb_q015_chunk_0000"", ""kb_q009_chunk_0000"", ""kb_q034_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q024,lexical_overlap_top5,5,{},"[""kb_q024_chunk_0000"", ""kb_q012_chunk_0000"", ""kb_q006_chunk_0000"", ""kb_q047_chunk_0000"", ""kb_q021_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q025,lexical_overlap_top5,5,{},"[""kb_q025_chunk_0000"", ""kb_q022_chunk_0000"", ""kb_q007_chunk_0000"", ""kb_q015_chunk_0000"", ""kb_q046_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q026,lexical_overlap_top5,5,{},"[""kb_q026_chunk_0000"", ""kb_q034_chunk_0000"", ""kb_q047_chunk_0000"", ""kb_q042_chunk_0000"", ""kb_q002_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q027,lexical_overlap_top5,5,{},"[""kb_q027_chunk_0000"", ""kb_q019_chunk_0000"", ""kb_q035_chunk_0000"", ""kb_q050_chunk_0000"", ""kb_q025_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q028,lexical_overlap_top5,5,{},"[""kb_q028_chunk_0000"", ""kb_q019_chunk_0000"", ""kb_q040_chunk_0000"", ""kb_q035_chunk_0000"", ""kb_q042_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q029,lexical_overlap_top5,5,{},"[""kb_q029_chunk_0000"", ""kb_q042_chunk_0000"", ""kb_q049_chunk_0000"", ""kb_q021_chunk_0000"", ""kb_q045_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q030,lexical_overlap_top5,5,{},"[""kb_q030_chunk_0000"", ""kb_q035_chunk_0000"", ""kb_q050_chunk_0000"", ""kb_q043_chunk_0000"", ""kb_q005_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q031,lexical_overlap_top5,5,{},"[""kb_q031_chunk_0000"", ""kb_q021_chunk_0000"", ""kb_q006_chunk_0000"", ""kb_q034_chunk_0000"", ""kb_q036_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q032,lexical_overlap_top5,5,{},"[""kb_q032_chunk_0000"", ""kb_q005_chunk_0000"", ""kb_q007_chunk_0000"", ""kb_q011_chunk_0000"", ""kb_q019_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q033,lexical_overlap_top5,5,{},"[""kb_q033_chunk_0000"", ""kb_q023_chunk_0000"", ""kb_q021_chunk_0000"", ""kb_q004_chunk_0000"", ""kb_q034_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q034,lexical_overlap_top5,5,{},"[""kb_q034_chunk_0000"", ""kb_q047_chunk_0000"", ""kb_q026_chunk_0000"", ""kb_q042_chunk_0000"", ""kb_q021_chunk_0000""]",0.02,0,[]
20251005-sg-baseline,q035,lexical_overlap_top5,5,{},"[""kb_q035_chunk_0000"", ""kb_q050_chunk_0000"", ""kb_q043_chunk_0000"", ""kb_q038_chunk_0000"", ""kb_q048_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q036,lexical_overlap_top5,5,{},"[""kb_q036_chunk_0000"", ""kb_q002_chunk_0000"", ""kb_q031_chunk_0000"", ""kb_q034_chunk_0000"", ""kb_q039_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q037,lexical_overlap_top5,5,{},"[""kb_q037_chunk_0000"", ""kb_q023_chunk_0000"", ""kb_q031_chunk_0000"", ""kb_q034_chunk_0000"", ""kb_q036_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q038,lexical_overlap_top5,5,{},"[""kb_q038_chunk_0000"", ""kb_q035_chunk_0000"", ""kb_q050_chunk_0000"", ""kb_q043_chunk_0000"", ""kb_q048_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q039,lexical_overlap_top5,5,{},"[""kb_q039_chunk_0000"", ""kb_q047_chunk_0000"", ""kb_q021_chunk_0000"", ""kb_q045_chunk_0000"", ""kb_q024_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q040,lexical_overlap_top5,5,{},"[""kb_q040_chunk_0000"", ""kb_q028_chunk_0000"", ""kb_q022_chunk_0000"", ""kb_q027_chunk_0000"", ""kb_q035_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q041,lexical_overlap_top5,5,{},"[""kb_q041_chunk_0000"", ""kb_q024_chunk_0000"", ""kb_q047_chunk_0000"", ""kb_q030_chunk_0000"", ""kb_q017_chunk_0000""]",0.02,0,[]
20251005-sg-baseline,q042,lexical_overlap_top5,5,{},"[""kb_q042_chunk_0000"", ""kb_q029_chunk_0000"", ""kb_q034_chunk_0000"", ""kb_q047_chunk_0000"", ""kb_q026_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q043,lexical_overlap_top5,5,{},"[""kb_q043_chunk_0000"", ""kb_q035_chunk_0000"", ""kb_q050_chunk_0000"", ""kb_q038_chunk_0000"", ""kb_q048_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q044,lexical_overlap_top5,5,{},"[""kb_q044_chunk_0000"", ""kb_q016_chunk_0000"", ""kb_q049_chunk_0000"", ""kb_q028_chunk_0000"", ""kb_q022_chunk_0000""]",0.02,0,[]
20251005-sg-baseline,q045,lexical_overlap_top5,5,{},"[""kb_q045_chunk_0000"", ""kb_q039_chunk_0000"", ""kb_q029_chunk_0000"", ""kb_q018_chunk_0000"", ""kb_q031_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q046,lexical_overlap_top5,5,{},"[""kb_q046_chunk_0000"", ""kb_q019_chunk_0000"", ""kb_q025_chunk_0000"", ""kb_q032_chunk_0000"", ""kb_q005_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q047,lexical_overlap_top5,5,{},"[""kb_q047_chunk_0000"", ""kb_q024_chunk_0000"", ""kb_q013_chunk_0000"", ""kb_q034_chunk_0000"", ""kb_q039_chunk_0000""]",0.02,0,[]
20251005-sg-baseline,q048,lexical_overlap_top5,5,{},"[""kb_q048_chunk_0000"", ""kb_q035_chunk_0000"", ""kb_q050_chunk_0000"", ""kb_q043_chunk_0000"", ""kb_q038_chunk_0000""]",0.03,0,[]
20251005-sg-baseline,q049,lexical_overlap_top5,5,{},"[""kb_q049_chunk_0000"", ""kb_q029_chunk_0000"", ""kb_q042_chunk_0000"", ""kb_q044_chunk_0000"", ""kb_q024_chunk_0000""]",0.02,0,[]
20251005-sg-baseline,q050,lexical_overlap_top5,5,{},"[""kb_q050_chunk_0000"", ""kb_q022_chunk_0000"", ""kb_q035_chunk_0000"", ""kb_q043_chunk_0000"", ""kb_q038_chunk_0000""]",0.03,0,[]
